Chornobyl_Center_ID,Biota_latin_name,Biota_common_name,Date_sampled,Site_Location_within_Chernobyl_exclusion_zone,Sex,Fresh_mass_of_biota_grams,Mass_of_biota_carcass_grams,Notes,Sr-90<,Sr-90_Bq_per_sample,error_Sr-90_Bq_per_Sample,Cs-137<,Cs-137_Bq_per_sample,error_Cs-137_Bq_per_Sample,"Pu-239,240_Bq_per_sample","error_Pu-239,240_Bq_per_Sample",Pu-238<,Pu-238_Bq_per_sample,error_Pu-238_Bq_per_Sample,Sr-90_Bq_per_kg_FW,Cs-137_Bq_per_kg_FW,"Pu-239,240_Bq_per_kg_FW",Pu-238<,Pu-238_Bq_per_kg_FW,Sr-90_Concentration_ratio,Cs-137_Concentration_ratio,"Pu-239,40_Concentration_ratio",Pu-238<,Pu-238_isotope_Concentration_ratio
G007127,Myodes glareolus,Bank vole,8/8/2005,Medium,Male,26.1,12.4,Gutted,n/a,3.94E+02,4.34E+00,n/a,8.99E+02,5.35E+01,5.88E-03,5.03E-04,n/a,2.45E-03,2.63E-04,3.18E+04,7.25E+04,2.25E-01,n/a,9.39E-02,1.71E+00,1.67E+00,3.79E-01,n/a,4.06E-01
G007128,Myodes glareolus,Bank vole,8/8/2005,Medium,Female,23.4,11.1,Gutted,n/a,3.03E+02,2.80E+00,n/a,2.26E+02,1.35E+01,1.91E-03,2.73E-04,n/a,5.29E-04,8.16E-05,2.73E+04,2.04E+04,8.17E-02,n/a,2.26E-02,1.47E+00,4.70E-01,1.37E-01,n/a,9.77E-02
G007129,Myodes glareolus,Bank vole,8/8/2005,Medium,Male,24.3,13.2,Gutted,n/a,1.96E+02,2.38E+00,n/a,2.95E+02,1.75E+01,3.42E-03,4.03E-04,n/a,1.11E-03,1.59E-04,1.48E+04,2.23E+04,1.41E-01,n/a,4.58E-02,8.00E-01,5.16E-01,2.37E-01,n/a,1.98E-01
G007130,Myodes glareolus,Bank vole,8/8/2005,Medium,Male,18.2,8.43,Gutted,n/a,2.44E+02,2.50E+00,n/a,2.18E+02,1.30E+01,1.09E-02,7.23E-04,n/a,3.76E-03,3.62E-04,2.90E+04,2.59E+04,6.00E-01,n/a,2.06E-01,1.56E+00,5.97E-01,1.01E+00,n/a,8.93E-01
G007131,Myodes glareolus,Bank vole,8/8/2005,Medium,Female,19.9,11.3,Gutted,n/a,1.12E+03,7.56E+00,n/a,3.70E+03,2.20E+02,3.00E-03,2.78E-04,n/a,1.83E-03,1.83E-04,9.90E+04,3.27E+05,1.51E-01,n/a,9.18E-02,5.34E+00,7.56E+00,2.54E-01,n/a,3.97E-01
G007132,Myodes glareolus,Bank vole,8/8/2005,Medium,Female,23.5,12.7,Gutted,n/a,7.04E+02,4.40E+00,n/a,5.29E+02,3.15E+01,2.89E-03,4.17E-04,n/a,1.43E-03,2.39E-04,5.54E+04,4.17E+04,1.23E-01,n/a,6.10E-02,2.99E+00,9.62E-01,2.07E-01,n/a,2.64E-01
G007138,Myodes glareolus,Bank vole,9/8/2005,Medium,Male,21.1,13.4,Gutted,n/a,1.88E+02,1.47E+00,n/a,1.48E+02,8.84E+00,4.18E-03,5.30E-04,n/a,2.07E-03,3.15E-04,1.41E+04,1.10E+04,1.98E-01,n/a,9.80E-02,7.58E-01,2.55E-01,3.33E-01,n/a,4.24E-01
G007139,Myodes glareolus,Bank vole,9/8/2005,Medium,Male,17.8,9.35,Gutted,n/a,8.16E+02,3.42E+00,n/a,1.49E+02,8.86E+00,1.22E-03,2.12E-04,n/a,8.40E-04,1.24E-04,8.73E+04,1.59E+04,6.83E-02,n/a,4.72E-02,4.71E+00,3.68E-01,1.15E-01,n/a,2.04E-01
G007140,Myodes glareolus,Bank vole,10/8/2005,Medium,Female,25.8,13.3,Gutted,n/a,2.16E+02,2.01E+00,n/a,3.93E+02,2.33E+01,2.10E-03,3.96E-04,n/a,1.33E-03,2.51E-04,1.62E+04,2.95E+04,8.13E-02,n/a,5.14E-02,8.74E-01,6.83E-01,1.37E-01,n/a,2.22E-01
G007133,Sorex araneus,Common shrew,6/7/2005,Medium,Female,13.2,7.91,Gutted,n/a,3.79E+02,2.05E+00,n/a,2.31E+02,1.37E+01,9.00E-02,2.04E-03,n/a,3.98E-02,1.34E-03,4.80E+04,2.92E+04,6.82E+00,n/a,3.02E+00,2.59E+00,6.75E-01,1.15E+01,n/a,1.30E+01
